time,X,Y,theta,u,v,omega
4.7,11.234663087519275,3.3252511611609745,0.9233544281031042,4.214832953567157,-2.042851133245417,0.37336778820861294
4.800000000000001,11.664478457662103,3.531405787829348,0.9614464027893804,4.236772404865909,-2.1849159801113776,0.38091974686276225
4.9,12.0989499112037,3.7466566236994097,1.000292667106033,4.2517304923214425,-2.330799100994094,0.38846264316652657
5.0,12.53772369321216,3.971188466835852,1.0398923159055058,4.259349468215165,-2.4802500163573664,0.39599648799472675
5.1000000000000005,12.980431986388558,4.205175122322157,1.080244445126419,4.259273424289294,-2.632988544681825,0.4035212922091331
5.2,13.426693138676521,4.448778208403823,1.1213481517922672,4.251150266474546,-2.7887038872642123,0.4110370666584821
5.300000000000001,13.876111975317281,4.702145940919211,1.1632025340101164,4.234633835791954,-2.9470538063493494,0.41854382217849195
5.4,14.328280200269203,4.965411901364407,1.2058066909693042,4.209386175176381,-3.107663911487908,0.4260415695918781
5.5,14.782776891662975,5.238693794572692,1.249159722940141,4.175079940827181,-3.2701270697086757,0.43353031970836786
5.6000000000000005,15.239169095645607,5.522092202629674,1.2932607312726128,4.131400955432678,-3.4340029557333858,0.4410100833247182
5.7,15.6970125225739,5.815689342284692,1.3381088183950858,4.078050899238145,-3.598817759032559,0.44848087122472924
5.800000000000001,16.155852349047393,6.119547833749886,1.3837030878130117,4.014750133430993,-3.7640640650085526,0.4559426941792596
5.9,16.615224128719305,6.433709489391543,1.4300426441076362,3.941240648702573,-3.9292009279825963,0.46339556294624445
6.0,17.074654814189465,6.7581941314044025,1.477126592934707,3.8572891301149985,-4.09365415394073,0.470839488270709
6.1000000000000005,17.53366389156484,7.0929984481081885,1.5249540410231854,3.762690127557181,-4.2568168111432625,0.47827448088478414
6.2,17.991764628471238,7.438094899005775,1.5735240961739576,3.6572693191216,-4.418049986706981,0.4857005515077224
6.300000000000001,18.448465435415663,7.793430679182565,1.622835867258549,3.5408868526789337,-4.57668380711179,0.49311771084591316
6.4,18.903271339435673,8.158926753994978,1.6728884642178388,3.4134407487801437,-4.7320187402461755,0.5005259695928981
6.5,19.355685567934817,8.53447697528032,1.7236809980607775,3.2748703457856125,-4.883327196071215,0.5079253384293866
6.6000000000000005,19.80521123949816,8.91994729050864,1.7752125808631045,3.1251597658213317,-5.029855442233021,0.5153158280232709
6.7,20.2513531573173,9.315175056377633,1.8274823257660688,2.964341377808231,-5.170825849970942,0.5226974490296433
6.800000000000001,20.69361969964073,9.719968468312985,1.8804893469751498,2.792499231420197,-5.30543948443635,0.5300702120908085
6.9,21.131524800414677,10.134106117168116,1.9342327597587798,2.6097724334195,-5.432879052038008,0.5374341278362995
